3000, 13-03-2020, 4000, 1000, Wool Carpet Blue, 600.00, 3, 1800.00, 2070.00, 2000
3001, 23-03-2021, 4001, 1001, Nylon Carpet Red, 700.00, 4, 2800.00, 3220.00, 2003
3002, 15-06-2021, 4002, 1002, Blended Carpet Green, 700.00, 2, 1400.00, 1610.00, 2000
3003, 01-04-2022, 4003, 1003, Blended Carpet Navy, 400.00, 4 , 1600.00, 1840.00, 2004
3004, 01-05-2022, 4004, 1004, Wool Carpet Gray, 500.00, 1, 500.00, 575.00, 2004
3005, 11-06-2022, 4005, 1005, Wool Carpet Maroon, 350.00, 2, 700.00, 805.00, 2003
3006, 14-06-2022, 4006, 1006, Nylon Carpet White, 500.00, 3, 1500.00, 1725.00, 2001
3007, 09-07-2022, 4008, 1007, Blended Carpet Aqua, 600.00, 4, 2400.00, 2760.00, 2005
3008, 22-11-2022, 4009, 1008, Nylon Carpet Purple, 400.00, 1, 400.00, 460.00, 2006
3009, 15-01-2023, 4010, 1009, Wool Carpet Black, 375.00, 3, 1125.00, 1293.75, 2001
3010, 13-02-2023, 4011, 1010, Nylon Carpet Wheat, 175.00, 5, 875.00, 1006.25, 2005
3011, 18-03-2023, 4012, 1011, Wool Carpet Sky Blue, 350.00, 2, 700.00, 805.00, 2006
3012, 01-04-2023, 4013, 1012, Blended Carpet Lavender, 400.00, 1, 400.00, 460.00, 2003
3013, 11-04-2023, 4007, 1013, Nylon Carpet Navy, 300.00, 3, 900.00, 1035.00, 2000
